               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10849,             0.04171,            0.038851,           0.0032763,             0.25185,           0.0023785,          0.00068476,            0.089597,            0.039119,            0.032011,              0.0811,              0.0021,              0.0021
                   1,            0.086321,            0.054056,            0.028599,             0.72338,             0.11852,            0.080485,            0.023879,             0.06923,            0.036555,            0.024407,            0.061257,           0.0042574,           0.0042574
                   2,            0.074197,            0.044679,            0.019877,             0.74366,            0.088889,            0.083236,            0.021916,            0.071648,            0.031084,            0.024336,            0.041371,           0.0063713,           0.0063713
                   3,            0.072443,            0.039836,            0.015338,             0.53241,             0.42593,             0.20402,            0.047553,            0.078942,            0.024155,            0.023852,            0.021442,           0.0084416,           0.0084416
                   4,            0.073262,             0.03732,            0.013022,             0.55049,             0.38167,             0.21027,            0.056441,            0.073346,            0.021253,            0.024576,            0.009604,            0.009604,            0.009604
                   5,            0.066969,            0.034266,            0.010166,             0.53593,              0.4963,             0.37538,             0.12854,            0.060483,            0.020317,            0.029358,            0.009604,            0.009604,            0.009604
                   6,            0.064073,            0.032847,           0.0097195,             0.59091,               0.405,             0.32732,             0.16527,            0.057606,            0.019222,             0.01442,            0.009505,            0.009505,            0.009505
                   7,            0.059852,            0.030834,           0.0073771,             0.63505,             0.36296,             0.35866,             0.18115,            0.052432,            0.019266,            0.011395,            0.009406,            0.009406,            0.009406
                   8,            0.056521,            0.029726,           0.0072508,             0.60636,              0.4005,             0.28332,             0.11442,              0.0638,            0.018908,            0.013787,            0.009307,            0.009307,            0.009307
                   9,            0.053883,            0.030021,           0.0059578,             0.83527,              0.3977,             0.48464,             0.20362,            0.051755,            0.017867,            0.011405,            0.009208,            0.009208,            0.009208
                  10,            0.053778,            0.029032,            0.005111,             0.84002,             0.39771,             0.50064,             0.22205,            0.043836,            0.017642,            0.010442,            0.009109,            0.009109,            0.009109
                  11,            0.051741,            0.027602,           0.0049456,             0.81894,             0.44836,             0.50635,             0.27928,            0.039008,            0.018177,            0.012081,             0.00901,             0.00901,             0.00901
                  12,            0.049423,            0.029094,           0.0041456,             0.84254,             0.51111,             0.53358,             0.27289,            0.041694,            0.017707,            0.010367,            0.008911,            0.008911,            0.008911
                  13,            0.047363,            0.026947,           0.0041306,             0.80561,             0.54071,             0.52107,             0.26118,            0.043821,            0.017114,           0.0096215,            0.008812,            0.008812,            0.008812
                  14,            0.047346,            0.026919,           0.0038674,             0.85748,             0.50215,             0.57075,             0.33168,            0.034112,            0.016161,              0.0107,            0.008713,            0.008713,            0.008713
                  15,            0.045651,            0.026266,           0.0047903,                0.84,             0.38155,             0.48493,             0.26657,            0.048582,            0.016783,            0.012899,            0.008614,            0.008614,            0.008614
                  16,            0.046204,            0.026495,           0.0041991,             0.79189,             0.53193,             0.55641,             0.35861,            0.033437,            0.016598,            0.010778,            0.008515,            0.008515,            0.008515
                  17,            0.043881,            0.025201,           0.0044711,             0.79276,             0.57778,             0.55527,             0.35981,            0.032444,            0.016166,            0.012572,            0.008416,            0.008416,            0.008416
                  18,            0.043259,            0.025344,           0.0037995,             0.89147,             0.50973,              0.5503,              0.3282,            0.037966,            0.016385,            0.010536,            0.008317,            0.008317,            0.008317
                  19,            0.042433,            0.024903,           0.0034061,             0.91154,             0.51111,             0.56242,             0.32011,            0.035566,            0.019498,            0.010102,            0.008218,            0.008218,            0.008218
                  20,            0.041104,            0.024267,           0.0035387,             0.87387,             0.54083,             0.60033,              0.3596,            0.036564,            0.015284,           0.0096559,            0.008119,            0.008119,            0.008119
                  21,            0.040982,             0.02469,           0.0035435,             0.91712,             0.58205,             0.60609,              0.3383,            0.039266,            0.015645,           0.0069562,             0.00802,             0.00802,             0.00802
                  22,            0.040836,            0.024688,           0.0034652,               0.892,             0.51481,             0.56381,             0.32699,            0.035056,            0.015447,            0.013706,            0.007921,            0.007921,            0.007921
                  23,            0.039306,            0.023819,           0.0036023,             0.92535,             0.51677,             0.60314,             0.39552,            0.031466,            0.015179,            0.010041,            0.007822,            0.007822,            0.007822
                  24,            0.038734,            0.023947,           0.0036135,             0.95367,             0.53704,             0.59701,             0.36179,            0.036289,            0.014531,           0.0071222,            0.007723,            0.007723,            0.007723
                  25,            0.037541,            0.024395,           0.0030497,             0.90331,             0.53704,             0.58303,             0.35294,            0.035677,            0.015619,           0.0076899,            0.007624,            0.007624,            0.007624
                  26,            0.038341,            0.023367,           0.0031782,             0.87141,             0.57589,             0.59048,             0.31837,            0.041002,            0.015357,           0.0080043,            0.007525,            0.007525,            0.007525
                  27,            0.037628,            0.024458,           0.0028907,             0.88545,              0.5963,             0.60122,             0.36181,            0.034132,            0.015538,           0.0077329,            0.007426,            0.007426,            0.007426
                  28,            0.039066,            0.023975,            0.002614,             0.84075,              0.5869,             0.58107,             0.33581,            0.041784,            0.016057,           0.0074588,            0.007327,            0.007327,            0.007327
                  29,            0.037907,            0.021667,           0.0025154,             0.81631,             0.58093,             0.58089,             0.37401,             0.03189,            0.015126,            0.009513,            0.007228,            0.007228,            0.007228
                  30,            0.035851,            0.023991,           0.0022445,             0.91035,             0.58563,             0.61212,             0.36835,            0.034892,            0.015069,           0.0069334,            0.007129,            0.007129,            0.007129
                  31,             0.03685,            0.022309,           0.0023874,             0.94964,               0.507,             0.59931,             0.36163,            0.035418,            0.014964,           0.0077348,             0.00703,             0.00703,             0.00703
                  32,            0.036473,            0.022829,           0.0020908,              0.8925,             0.54346,             0.60289,             0.39306,            0.032356,            0.015463,           0.0086001,            0.006931,            0.006931,            0.006931
                  33,            0.035548,            0.021672,           0.0023854,             0.88343,             0.58889,             0.60527,             0.39077,            0.031232,             0.01582,           0.0077524,            0.006832,            0.006832,            0.006832
                  34,            0.034723,            0.023071,           0.0019687,             0.89693,             0.50741,             0.59379,             0.34057,            0.035788,             0.01499,            0.008031,            0.006733,            0.006733,            0.006733
                  35,            0.033942,            0.022935,           0.0020607,             0.85507,             0.57881,             0.57355,             0.36523,            0.031841,            0.015185,           0.0096597,            0.006634,            0.006634,            0.006634
                  36,            0.034189,             0.02173,            0.002243,             0.54856,             0.57502,             0.57227,             0.33266,            0.036097,            0.016622,           0.0097208,            0.006535,            0.006535,            0.006535
                  37,            0.034186,            0.022663,           0.0021791,             0.53297,             0.54303,             0.57143,             0.33714,            0.035283,            0.017853,           0.0098485,            0.006436,            0.006436,            0.006436
                  38,            0.033196,            0.021756,           0.0019995,             0.59858,             0.54346,             0.59747,             0.38079,            0.032028,            0.016721,           0.0071609,            0.006337,            0.006337,            0.006337
                  39,            0.033622,            0.022795,           0.0019222,             0.95013,             0.54394,              0.6032,             0.38037,            0.031602,             0.01476,           0.0069711,            0.006238,            0.006238,            0.006238
                  40,            0.032926,            0.021834,           0.0019962,             0.92479,             0.55455,             0.57935,              0.3862,            0.032147,            0.016196,           0.0080724,            0.006139,            0.006139,            0.006139
                  41,            0.032717,            0.022982,             0.00195,             0.89944,             0.51852,             0.57143,             0.36904,            0.032129,            0.015968,            0.013881,             0.00604,             0.00604,             0.00604
                  42,            0.033712,            0.020924,           0.0015901,             0.95538,             0.51073,             0.56894,             0.39167,             0.03323,            0.015794,            0.011805,            0.005941,            0.005941,            0.005941
                  43,            0.033608,            0.022067,           0.0017396,             0.95311,             0.49843,             0.55405,             0.37885,            0.030861,            0.016021,            0.012765,            0.005842,            0.005842,            0.005842
                  44,            0.031656,            0.021155,           0.0016691,             0.94218,             0.48462,             0.55648,             0.37436,            0.035676,            0.016359,            0.012425,            0.005743,            0.005743,            0.005743
                  45,            0.031794,            0.020689,           0.0014543,             0.89936,             0.54444,              0.5754,             0.36464,            0.032771,            0.015554,            0.010247,            0.005644,            0.005644,            0.005644
                  46,            0.031392,             0.02046,           0.0016292,             0.94864,             0.56865,             0.59875,             0.38039,            0.036218,            0.015166,           0.0064513,            0.005545,            0.005545,            0.005545
                  47,            0.030444,            0.019778,           0.0016373,             0.93616,             0.59802,             0.60845,             0.41927,            0.030085,             0.01546,           0.0063893,            0.005446,            0.005446,            0.005446
                  48,            0.030626,            0.021776,           0.0015856,             0.91441,              0.5439,             0.59804,             0.39927,            0.031572,            0.015732,           0.0077806,            0.005347,            0.005347,            0.005347
                  49,            0.030011,            0.019306,           0.0016401,             0.59416,             0.54917,             0.58798,             0.38997,            0.032874,            0.018211,           0.0070582,            0.005248,            0.005248,            0.005248
                  50,            0.031141,            0.019658,           0.0013736,             0.92644,             0.58148,             0.58837,             0.41102,            0.030123,             0.01639,           0.0086855,            0.005149,            0.005149,            0.005149
                  51,            0.029471,            0.019766,           0.0015631,             0.95328,             0.54334,             0.59234,              0.3851,            0.033013,            0.016007,           0.0080441,             0.00505,             0.00505,             0.00505
                  52,            0.029228,            0.018966,           0.0015733,             0.93548,             0.55556,             0.60678,             0.40993,            0.031605,            0.015774,           0.0071848,            0.004951,            0.004951,            0.004951
                  53,            0.028311,            0.019882,           0.0016553,             0.94595,             0.57838,             0.61381,             0.41266,            0.028349,             0.01545,           0.0064865,            0.004852,            0.004852,            0.004852
                  54,            0.029918,            0.020363,           0.0017892,             0.93448,             0.55556,             0.60391,              0.4172,            0.028715,            0.016801,           0.0065401,            0.004753,            0.004753,            0.004753
                  55,            0.028101,            0.020281,            0.001411,             0.92822,             0.53943,             0.59351,              0.3909,            0.030642,            0.015847,           0.0098887,            0.004654,            0.004654,            0.004654
                  56,            0.028483,            0.019662,           0.0015071,             0.94298,             0.54308,             0.58575,             0.40174,            0.029565,            0.016144,            0.010328,            0.004555,            0.004555,            0.004555
                  57,            0.027476,            0.019516,           0.0016597,             0.92016,              0.5578,             0.58877,             0.39811,            0.029681,            0.015345,           0.0095471,            0.004456,            0.004456,            0.004456
                  58,             0.02787,            0.018798,           0.0013829,             0.91523,             0.56005,             0.59288,             0.39996,            0.031526,            0.015591,           0.0097824,            0.004357,            0.004357,            0.004357
                  59,            0.028197,            0.018247,           0.0010117,             0.92675,             0.52296,             0.58169,             0.40255,            0.029713,            0.016162,            0.011458,            0.004258,            0.004258,            0.004258
                  60,            0.027015,            0.018487,           0.0011371,             0.55509,             0.56462,              0.5898,             0.39638,            0.030318,            0.015812,            0.012267,            0.004159,            0.004159,            0.004159
                  61,            0.026818,            0.018422,           0.0013622,             0.90033,             0.52828,             0.58726,             0.39424,            0.030931,            0.016156,            0.015255,             0.00406,             0.00406,             0.00406
                  62,            0.026725,            0.018867,           0.0013707,             0.91149,              0.5487,             0.59196,             0.39956,            0.029407,            0.015857,            0.012153,            0.003961,            0.003961,            0.003961
                  63,            0.026667,            0.019583,           0.0010761,             0.92269,             0.55264,             0.59868,             0.39969,             0.02935,            0.015741,            0.010199,            0.003862,            0.003862,            0.003862
                  64,             0.02585,            0.018315,           0.0012067,             0.96414,             0.49259,             0.57722,             0.39507,            0.029272,            0.017001,            0.010549,            0.003763,            0.003763,            0.003763
                  65,            0.026002,            0.018726,           0.0013024,               0.923,             0.58148,             0.58882,             0.39381,            0.029189,            0.016772,           0.0061711,            0.003664,            0.003664,            0.003664
                  66,            0.026534,            0.018742,           0.0012764,             0.95236,             0.55185,             0.59924,             0.41333,            0.028616,            0.015919,           0.0071073,            0.003565,            0.003565,            0.003565
                  67,            0.025004,            0.017902,          0.00081307,             0.95888,             0.55185,              0.6052,             0.42087,            0.028657,            0.015635,           0.0069444,            0.003466,            0.003466,            0.003466
                  68,            0.025108,            0.019606,           0.0012246,             0.91914,             0.57037,             0.59427,             0.41186,            0.028616,            0.015621,           0.0093738,            0.003367,            0.003367,            0.003367
                  69,            0.025745,            0.018197,          0.00090634,              0.8929,             0.54444,             0.58035,             0.39346,            0.029695,            0.016023,           0.0099275,            0.003268,            0.003268,            0.003268
                  70,            0.024851,            0.018295,           0.0011004,              0.8788,             0.56296,             0.58574,             0.39314,            0.028818,             0.01539,             0.01087,            0.003169,            0.003169,            0.003169
                  71,            0.024135,            0.017786,          0.00097356,             0.55361,             0.60741,             0.59732,             0.41119,            0.028649,            0.016073,           0.0094275,             0.00307,             0.00307,             0.00307
                  72,            0.024168,            0.016848,           0.0013352,             0.92518,             0.47407,             0.58977,             0.40684,            0.029497,            0.016784,            0.010927,            0.002971,            0.002971,            0.002971
                  73,            0.024185,            0.018344,           0.0008675,             0.94564,             0.51614,             0.59385,             0.42416,            0.028506,            0.016293,           0.0087724,            0.002872,            0.002872,            0.002872
                  74,            0.023985,            0.016886,           0.0012553,             0.92029,             0.51852,             0.58922,             0.40432,            0.030359,            0.016203,           0.0098666,            0.002773,            0.002773,            0.002773
                  75,            0.024069,            0.018031,          0.00094699,             0.88614,             0.54444,             0.57684,             0.40664,            0.029256,            0.016026,            0.009034,            0.002674,            0.002674,            0.002674
                  76,            0.024094,            0.017507,           0.0010397,             0.88302,             0.53704,             0.57426,             0.40228,            0.028384,            0.016123,           0.0096664,            0.002575,            0.002575,            0.002575
                  77,            0.023415,            0.017761,           0.0010782,             0.93331,             0.55185,             0.60149,              0.4144,            0.028072,             0.01558,           0.0074177,            0.002476,            0.002476,            0.002476
                  78,            0.023325,            0.017887,           0.0010885,             0.93767,             0.52254,             0.59701,             0.41399,            0.028564,            0.015807,           0.0070769,            0.002377,            0.002377,            0.002377
                  79,            0.023589,            0.017638,           0.0010485,             0.92091,             0.58868,             0.61094,             0.41606,            0.028189,            0.016091,           0.0064524,            0.002278,            0.002278,            0.002278
                  80,            0.022841,            0.017079,           0.0010814,             0.94159,             0.52982,             0.59467,             0.41126,            0.028463,            0.015937,           0.0097922,            0.002179,            0.002179,            0.002179
                  81,            0.023126,            0.016649,          0.00097987,             0.93857,             0.55185,             0.59535,             0.39909,            0.027986,            0.016368,           0.0094316,             0.00208,             0.00208,             0.00208
                  82,            0.022799,            0.016554,          0.00098352,             0.93078,             0.56836,             0.60792,             0.42611,            0.027523,            0.015812,           0.0085964,            0.001981,            0.001981,            0.001981
                  83,            0.023394,            0.017843,          0.00084564,             0.93613,             0.54444,             0.59716,             0.41902,             0.02797,            0.015754,           0.0092695,            0.001882,            0.001882,            0.001882
                  84,            0.023038,            0.017853,          0.00079196,             0.94881,             0.50624,             0.58592,             0.40994,            0.027899,            0.015903,            0.010812,            0.001783,            0.001783,            0.001783
                  85,            0.022786,            0.017809,           0.0010725,             0.94593,             0.52402,             0.58864,             0.41515,            0.028287,            0.015949,            0.010861,            0.001684,            0.001684,            0.001684
                  86,            0.021821,            0.017034,           0.0009154,             0.92717,             0.54444,             0.59814,             0.40486,            0.029002,            0.015896,           0.0099479,            0.001585,            0.001585,            0.001585
                  87,            0.021882,            0.016772,          0.00072067,             0.92954,             0.54444,             0.60416,             0.41127,            0.028662,            0.016011,           0.0081675,            0.001486,            0.001486,            0.001486
                  88,            0.022321,            0.017509,           0.0011052,             0.92224,             0.54444,             0.59979,             0.41154,            0.027621,             0.01556,            0.008302,            0.001387,            0.001387,            0.001387
                  89,            0.021657,            0.016248,          0.00065615,             0.91234,             0.56024,             0.59099,             0.41206,            0.027829,            0.015595,           0.0094468,            0.001288,            0.001288,            0.001288
                  90,            0.022642,            0.016704,          0.00097054,             0.91197,             0.55847,             0.58627,             0.40758,            0.028149,            0.016199,            0.009385,            0.001189,            0.001189,            0.001189
                  91,            0.021284,            0.016392,           0.0010154,             0.95209,             0.54045,             0.58636,              0.4115,            0.028144,            0.016526,           0.0090117,             0.00109,             0.00109,             0.00109
                  92,            0.021248,            0.016112,          0.00063802,             0.95018,             0.54126,             0.58649,             0.41091,            0.028071,            0.016483,           0.0087974,            0.000991,            0.000991,            0.000991
                  93,            0.022083,            0.017059,          0.00095218,             0.93339,             0.54417,             0.58862,              0.4102,            0.028369,            0.016345,           0.0090218,            0.000892,            0.000892,            0.000892
                  94,            0.021536,            0.016094,          0.00097888,             0.94142,             0.53975,             0.59532,             0.41373,            0.028277,            0.016337,           0.0087195,            0.000793,            0.000793,            0.000793
                  95,            0.020813,            0.016462,           0.0012475,             0.94499,             0.54258,             0.58947,              0.4108,            0.028478,            0.016623,           0.0086379,            0.000694,            0.000694,            0.000694
                  96,            0.020482,            0.015453,           0.0012487,             0.95327,             0.54266,             0.59465,             0.41626,            0.028567,              0.0164,           0.0078427,            0.000595,            0.000595,            0.000595
                  97,            0.020544,            0.016217,          0.00069507,             0.95079,             0.54444,             0.59545,             0.41251,            0.028362,            0.016498,           0.0076083,            0.000496,            0.000496,            0.000496
                  98,            0.020575,            0.015891,          0.00072104,             0.94817,             0.54176,             0.59425,             0.41038,             0.02844,            0.016589,           0.0078358,            0.000397,            0.000397,            0.000397
                  99,            0.021006,            0.016946,          0.00089489,             0.94526,              0.5411,               0.594,             0.41404,            0.028302,            0.016607,           0.0081068,            0.000298,            0.000298,            0.000298
